State,Initiative name,Initiative Number,Initiative status,Initiative Narrative,Initiative Metrics (Semicolon Separated),Metric Statuses (Semicolon-Separated)
RI,Strengthening Rural Oral Health Delivery Through Innovation and Integration,7,In progress,"This initiative will improve oral health and reduce the high number of unnecessary ED visits for dental complaints, which are common in areas with few dental providers. It will also enhance provider capacity across the state through consultation and training, creating a sustainable network of dental care capable of treating individuals with complex needs which will reduce transfer of rural residents to other urban areas or other states.","Rate of non-injury, dental-related ED visits/1000;# of Medicaid patient transfers to urban or out-of-state facilities for dental procedures;# of ESH outpatient dental center visits;% of Medicaid children and adults with a disability who received a dental visit",Active;Active;Active;Active
RI,Building Capacity for Block Island Health and Human Services ,8,In progress,"This initiative incorporates elements of multiple other initiatives to meet the needs of Block Island including Hub concepts from Initiative 1, enhanced EMS capabilities from Initiative 4, HIT infrastructure from Initiative 12, and workforce development from Initiative 10. At the center of this effort, BIHS will expand its Community Medicine Program to deliver homebased, preventive (well-care), and follow-up care for elderly and chronically ill residents.","Launch of PACE on Block Island;% of New Shoreham residents, age 65+, who received at least one well-care visit during the year;# of medical residents assigned to / enrolled in the Rural Medicine Education Program on Block Island;# of home-based services delivered to people on Block Island through the Community Medicine Program",Active;Active;Active;Active
RI,Modernizing Health Care Delivery for the Narragansett Indian Tribe,9,In progress,"Through the RHTP, EOHHS will partner with the Tribe to modernize infrastructure, strengthen workforce capacity, and enhance care coordination. This initiative will deploy digital diagnostic tools, remote patient monitoring, and EHR-integrated equipment to improve early detection, chronic disease management, and data accuracy",NIHC telehealth service volume;NIHC CHW and behavioral health aide service volume;# of new health infrastructure/equipment installations at NIHC;NIHC behavioral health service volume (office and telehealth),Active;Active;Active;Active
RI,Rural Workforce Program ,10,In progress,"This initiative seeks to build a stable, skilled rural health workforce by expanding clinical training, strengthening education-to-employment pathways, supporting career advancement, and providing targeted recruitment and retention incentives. It creates the workforce foundation that enables other RHTP initiatives to succeed.",# of rural primary care physicians;Vacancy rate among rural providers;# of rural clinical placements for health professional students and residents;Increased number of individuals obtaining training and credentials for jobs in rural settings,Active;Active;Active;Active
RI,Supporting Hospitals and Primary Care in Value-Based Payment Transition ,11,In progress,This initiative will support the financial sustainability of hospitals and primary care practices that serve rural communities by enabling their successful participation in advanced APMs.,State-approved APM adoption by primary care providers serving patients in rural areas;State-approved APM adoption by hospitals serving patients in rural areas;State-approved APM incentives earned by primary care practices serving patients in rural areas;State-approved APM incentives earned by hospitals serving patients in rural areas,Active;Active;Active;Active
RI,Rural Health Information Technology Modernization Program,12,In progress,"Equipping providers with an interoperable EHR will reduce administrative burden, facilitate care coordination and continuity, streamline data exchange, and ensure rural providers can fully participate in APMs and population health programs. The infrastructure grants will allow providers to acquire technology and digital tools that can help them streamline workflows, deliver telehealth and telemonitoring services, and modernize care delivery.",# of rural practices adopting the state-sponsored EHR;# of rural practices that transition to a certified EHR;# of new health infrastructure/ digital tools installations;# of new interfaces established to State’s HIE or RIDOH,Active;Active;Active;Active
RI,Rural Health Data and Workforce Tracking System,13,In progress,"This initiative focuses on developing integrated data systems that track upstream drivers of health, coordinate care between community-based and clinical providers, and inform investments in preventive and non-clinical interventions.",Expand functionality of existing workforce data hub;Assessment of priorities for workforce recruitment efforts using workforce data hub output;# of completed community health data profiles;Performance monitoring dashboards with data stratified by geography,Active;Active;Active;Active
SC,Connections to Care,1,In progress,"Expanding digital infrastructure by implementing electronic health records, remote patient monitoring, telehealth services and a statewide resource database platform to improve care coordination and access.","Establish a baseline for measurement of the number of rural healthcare providers using certified EHR technology that supports interoperability and increase usage over the course of the cooperative funding agreement;Establish a baseline for telehealth service offerings, and increase the proportion of healthcare facilities offering telehealth services (e.g., video visits, remote consults) by 15%;Increase the number of patients enrolled in RPM programs or utilizing assistive technology;Establish and operationalize a statewide resource database, increasing the number of closed-loop referrals to state and community-based organizations by at least 50%",Active;Active;Active;Active
SC,Leveling Up,2,In progress,"Scaling successful pilot programs statewide, focusing on chronic disease management, pediatric care quality, and workforce development.","Complete a comprehensive community health needs assessment, inclusive of data collection, stakeholder engagement, and publication of a final report;Increase the number of providers participating in pediatric care quality programs by 15%;Increase the number of locations where a patient can receive treatment as part of a coordinated chronic care system;Increase the number of GME programs including a rural education component",Active;Active;Active;Active
SC,Wellness Within Reach,3,In progress,"Deploying mobile health units, crisis response teams, and pop-up clinics to bring care directly to underserved populations.",Increase number of healthcare access points;Expand mobile health unit coverage in rural counties;Increase the number of mobile crisis response teams - Establish a baseline for mobile unit crisis response time and reduce the average response time;Complete a feasibility study on sustainable payment models for community paramedicine,Active;Active;Active;Active
SC,Shoring Up Sustainability,4,In progress,"Strengthening rural healthcare systems through targeted investments in workforce recruitment and retention, facility upgrades, and provider training.","Implement or enhance workforce incentive programs;Establish a baseline and annual metrics for improving clinician retention rates in rural areas;Through community partners, develop and launch masterclass sessions;Develop and deploy new or updated training programs for rural healthcare providers",Active;Active;Active;Active
SC,Tech Catalyst Fund,5,In progress,Supporting rural health technology startups and community-based innovations to drive long-term health and economic improvements.,"Increase the number of rural health tech start-ups receiving funding in South Carolina;Increase high-wage jobs created by funded companies;Improve clinical health indicators (e.g., A1C levels for diabetes, blood pressure control) for patients utilizing funded innovations;Increase the number of rural patients utilizing telehealth or remote monitoring services provided by funded companies",Active;Active;Active;Active
SD,Connect Technology and Data for a Healthier South Dakota ,1,In progress,"This initiative will modernize healthcare delivery across South Dakota through a comprehensive approach to digital health infrastructure and health information exchange. Guided by feedback from system leaders, rural hospitals, and provider associations, it provides flexible funding to healthcare facilities while building statewide infrastructure for sustained success.","Percentage of Tier 1 facilities that transition from paper-based or limited EHR systems to certified EHR technology;Percentage increase in completed colon cancer, breast cancer, and diabetes screenings through automated patient identification and outreach;Percentage reduction in hospital-acquired infections (HAIs) and medication related adverse events through infection surveillance modules and drug interaction
checking;Number of innovative health IT pilots (AI-driven tools, advanced analytics, novel telehealth integrations) implemented and scaled to partner facilities;Number of resources referencing Data Altas;Number of county-level outcome indicators available in Data Atlas",Active;Active;Active;Active;Active;Active
SD,Building a Sustainable Rural Healthcare Workforce ,2,In progress,"This initiative will strengthen South Dakota’s rural healthcare workforce through a comprehensive, incentive-based program that attracts, develops, and retains professionals across critical roles and care settings. By combining targeted recruitment incentives with education based retention supports, the program ensures sustainable access to quality care in rural and frontier communities.",Number of healthcare professionals recruited to rural communities;Percentage of healthcare professionals retained in rural communities five years after receiving incentives;Number of professionals completing education or professional development programs supported through the initiative;% of Medicaid beneficiaries accessing primary care within 30 miles of home,Active;Active;Active;Active
SD,Expand and Strengthen Rural Community Health Worker Workforce ,3,In progress,"This initiative will expand community health workers (CHW) and community health representatives (CHR) through training, technical assistance, and capacity building, while strengthening the workforce through sustainable reimbursement, stakeholder collaboration, and professional development.",Total number of individuals trained as CHWs;Number of Certified CHWs and CHRs;Number of CHW and CHR programs enrolled and serving Medicaid patients;Number of unique Medicaid recipients receiving CHW/CHR services,Active;Active;Active;Active
SD,Rural Health Forward: Training and Resource Hub,4,In progress,"This initiative will establish Rural Health Forward, a resource and training hub designed to close gaps in education, training, and professional development between urban and rural healthcare providers. Designed for rural use but accessible to all, the hub will serve physicians, advanced practice providers, nurses, CHWs/CHRs, EMS professionals, doulas, and other frontline healthcare staff across South Dakota.","Number of providers trained;% of rural, frontier, and Tribal counties with at least one participating provider;Increase in participant knowledge or skill confidence based on pre-/post-training assessments;Percentage of trained providers remaining in South Dakota’s healthcare workforce after 12 months",Active;Active;Active;Active
SD,Medicaid Primary Accountable Care Transformation ,5,In progress,"This initiative will implement an alternative payment model that provides flexible, capitated payments to rural primary care practices, incentivizing both providers and patients for quality outcomes while promoting shared accountability for cost and utilization.","HEDIS-based primary care quality measures;ED visits per 1,000 member-months for ambulatory care sensitive conditions (ACSCs);Provider burnout rate;Number of payers formally aligned on payment methodology",Active;Active;Active;Active
SD,Medicaid Rural Health Access and Quality Grants ,6,In progress,This initiative will establish Rural Health Access and Quality Grants to help rural hospitals and clinics assess and transition their service delivery models to ensure long-term access to essential healthcare. ,Percentage of essential service lines maintained or expanded through grant funded facilities (to include through telehealth and transportation coordination);Number of new regional partnerships or affiliations established;Financial performance improvement;Medicaid health outcomes in grant-recipient service areas,Active;Active;Active;Active
SD,Strengthening Chronic Disease Management ,7,In progress,"This initiative strengthens statewide chronic disease management through four key strategies: targeted rural funding, expanded self-management programs, enhanced caregiver support, and provider training. ",30-day readmission rate for chronic condition patients;Number of patients with controlled blood pressure;Number of individuals completing a certified workshop;Number of metrics (of 7) showing improved performance,Active;Active;Active;Active
SD,Regional Maternal and Infant Health Hubs ,8,In progress,"This initiative aims to reduce maternal and infant health disparities and improve access to high-quality care in rural and Tribal areas in South Dakota by establishing regional hubs. These hubs focus on both clinical care and broader care coordination, supported by spoke sites that integrate community social-support networks.","Prenatal care visit during the first trimester (% among participating women in OB hubs);Number of women receiving hybrid OB care;Percentage of women in OB hybrid model receiving a referral for
social/behavioral health needs;Number of trained, certified, and Medicaid verified doulas statewide",Active;Active;Active;Active
SD,Integrated Behavioral Health through CCBHC & Collaborative Care ,9,In progress,"This initiative will implement the Certified Community Behavioral Health Clinic (CCBHC) model statewide, ensuring comprehensive, coordinated care with same-day access, 24/7 crisis response, integrated physical and behavioral health services, and evidence-based care for special populations including veterans and perinatal populations. This initiative will also expand the Collaborative Care Model from three pilot sites to additional primary care locations statewide, integrating mental health into primary care through teams of physicians, behavioral health case managers, and psychiatric consultants.","Operational CCBHCs per region;24-Hour Access, 7-Day Follow-Up;6-month symptoms and medication improvement;Average days from identification to first treatment intervention",Active;Active;Active;Active
SD,Enhancing Sustainable Emergency Medical Services ,10,In progress,"This initiative will create a modern, connected, and sustainable Emergency  Medical Services (EMS) system across South Dakota, ensuring timely, high-quality emergency care for all residents, including those in rural, Tribal, and frontier communities. This initiative will also implement coordinated coverage models and telemedicine integration to improve patient outcomes, strengthen hospital partnerships, and enhance real-time data collection and sharing. These evidence-based strategies ensure residents receive lifesaving care closer to home, regardless of location.",Operational regional EMS hubs per designated region;Percentage of EMS agencies integrated with the State HIE;Percentage of 911 calls with response times exceeding 15 minutes;Increase in certified EMTs/EMRs,Active;Active;Active;Active
TN,HRP: Service Line Expansion & Co-Location - Activating Sustainable Service Lines in Rural Hospital and Healthcare Facilities ,1,In progress,"Access to comprehensive healthcare services in Tennessee's rural communities remains a critical challenge, often resulting in fragmented care and poor health outcomes. The proven Healthcare Resiliency Program (HRP) model aims to expand and integrate access to primary, specialty, behavioral, and social health services within hospital and healthcare settings. Through a competitive grant process, this initiative will fund innovative projects designed to increase the capacity of primary care practices to offer comprehensive services and improve collaboration among healthcare providers. This initiative supports rural hospitals, Critical Access Hospitals (CAHs), and co-located clinics in implementing or expanding strategic priority service lines within existing facilities. Focus areas include perinatal care, behavioral health, emergency department services, primary care, pediatrics, chronic care coordination, specialty services, and targeted diagnostic capacity. The initiative emphasizes portfolio-based sustainability by balancing margin-positive services (e.g., infusion therapy, oncology, nephrology, diagnostic imaging, certain surgical procedures) with mission-critical services (e.g., OB delivery, emergency department, primary care, behavioral health) and strategic loss leaders (e.g., pediatric primary care, chronic care coordination).",Increase the number of rural primary care clinics adding access to integrated behavioral health.*(* - indicates availability at community level);Increase the number of rural primary care clinics adding access to specialty care services onsite.;Increase the number of organizations connected to TN Community Compass.;Increase the number of new or upgraded exam/treatment rooms.,Active;Active;Active;Active
TN,Last Mile Teams - Unifying multiple high-impact efforts to expand Tennessee’s rural emergency care infrastructure and bring integrated health services directly to residents in hard-to-reach areas ,2,In progress,"The Last Mile Teams initiative unites multiple high-impact efforts to expand Tennessee’s rural emergency care infrastructure and bring integrated health services directly to residents in hard-to-reach communities. This comprehensive program will fund not just a new ambulance in every county, but a comprehensive new program to expand EMT training and support, launch and scale Community Paramedicine programs in high-need counties, and embed neonatal resuscitation (NRP) and perinatal readiness into rural EMS operations statewide, while deploying mobile behavioral health units or Mobile Health Clinics (MHCs) through an expansion of Project Rural Recovery. MHCs step in as frontline behavioral providers, often in counties with no hospitals, preventing unnecessary hospital visits and filling care gaps that would otherwise overwhelm rural facilities, saving money across the healthcare system. Of 2,308 Project Rural Recovery clients assessed, they reported 227 times that they would have gone to the emergency department if the mobile clinic had not been available, and 671 times that they wouldn’t have received any care. In one year alone, Project Rural Recovery’s mobile units saved an estimated $200,000 by treating these clients on the mobile health clinic rather than in emergency departments. 17% of clients reported that it would have taken over an hour to reach alternate care. MCHs can prevent around 600 emergency room visits per clinic annually, equivalent to an average savings of 20% in healthcare costs (Tulane University, 2021). By driving care directly into high-need areas and preventing avoidable hospital use, mobile health clinics not only improve health outcomes but also serve as a cost-saving, capacity-building asset to rural hospitals across Tennessee.
Another critical component of the Last Mile Team is the Regional Healthcare Coalitions (HCCs) that will build the Tennessee Healthcare Resilience, Integration, and Value Expansion (THRIVE) initiative, representing Tennessee’s next-generation model for sustainable healthcare preparedness and rural system transformation. THRIVE will create a platform for innovation to address persistent gaps in healthcare preparedness. Initial efforts will focus on HCC effectiveness, system interoperability, operational readiness, supply chain resilience, continuous QI, and federal alignment. Planned activities include strengthening supply chain resilience through rotational cache management programs and expansion of healthcare buying groups, establishing Medical Operations Coordination Centers (MOCCs) to streamline patient movement and placement, implementing HL7 FHIR/US SAFR standards to enhance data interoperability and create a comprehensive common operating picture during response efforts, and developing deployable medical teams for field, triage, and surge support operations.
Finally, TDH will build upon the core Community Health Access and Navigation in Tennessee (CHANT) program by connecting pregnant and postpartum women to critical resources, comprehensive referrals, and individualized care coordination with increased intensity and education components, building a robust system of wraparound support aimed at reducing risks and improving perinatal health outcomes at both the individual and community levels. Funding from this grant will allow the enhanced CHANT maternal care coordination to launch in twelve rural counties with high rates of sleep-related infant deaths and limited maternity care access.
The expansion will strengthen Tennessee’s maternal health infrastructure by bridging resource gaps, enhancing care coordination capacity, and building a scalable, data-driven model that can be replicated statewide. This investment not only supports direct service delivery but also lays the foundation for long-term system transformation—one that promotes maternal wellness, infant safety, and equitable access to care across all 95 counties by 2035.Together, these efforts ensure that Tennesseans—regardless of geography—have timely access to lifesaving care, chronic disease management, and maternal and behavioral health services through coordinated local response systems that link EMS, hospitals, and community providers.","Increase the number of rural ambulances.;Increase the number of rural counties with active Community Paramedic Programs.*;Increase the number of EMS staff certified in Neonatal Resuscitation Program.;Increase the number of coalition-led training or exercise events annually to support rural healthcare, EMS, and non-healthcare personnel education and coordination.;Establish Medical Operations Coordination Centers (MOCCs) statewide;Conduct annual facility readiness assessments;Establish coalition-led/PPE/MCM rotational programs;Increase the percentage of women who attend a postpartum checkup within 12 weeks after giving birth;Increase the percentage of women screened for depression and anxiety following a recent live birth;Reduce the percentage of clients that report ED use related to MH or SUD over the course of treatment.",Active;Active;Active;Active;Active;Active;Active;Active;Active;Active
TN,"Optimizing Rural Health Care - Direct Access to public health, primary care, and dental services for the uninsured",3,In progress,"To increase access to primary care and provide a medical home for uninsured adults, Tennessee will expand their Uninsured Adult Healthcare Safety Net Program network. Twenty-one counties have been identified with no access to a Safety Net provider for uninsured adults ages 19-64. Additional providers will be added to the program to expand services to counties not currently served. Existing Safety Net providers will also have an opportunity to expand their sites and services to improve access.
Tennessee will leverage its unparalleled network of local health departments (LHDs) in 89 rural counties to align public and private resources, expand high-value direct services, and help patients navigate a complex system.",Increase provider placements in counties not currently served.;*Available at Community Level;Increase the number of sites offering primary care.;Increase the total number of participants who are enrolled in the program.;Increase the percentage of participants who self-report quitting tobacco and nicotine-based products.,Active;Active;Active;Active;Active
TN,Memory Care Assessment Network - Expanded rural access to ADRD Care through a hub-and-spoke model ,4,In progress,"A game-changing evidence-based program for rural adults, this comprehensive Dementia Network for rural seniors builds a statewide resource to improve access to diagnosis and treatment for those experiencing ADRD. With rural populations disproportionately represented by older adults—over 20% of rural residents are aged 65 and older—there is a pressing need for dedicated resources to address their specific health challenges. Modeled after successful systems in Georgia and Florida, MACN+DN will create a hub-and-spoke network connecting specialized Memory Assessment Clinics with existing urban Neuropsychiatry resources, leveraging a dramatically expanded Dementia Navigator network. By utilizing telehealth and trained non-clinical staff, the program will effectively address geographic and workforce barriers to enhance access and care for individuals with ADRD and their caregivers. ","Increase # of rural residents with suspected dementia receiving a specialized, confirmed diagnosis (via MACN+DN /telehealth).;Increase # of newly diagnosed patients (& caregivers) who receive in-person, post-diagnostic consultation/resource-linking.;Increase the number of unique rural residents utilizing the telehealth platform for MACN+DN diagnostic appointments.;Establish and formalize Dementia Navigators in rural health departments.*;Establish shared IT infrastructure to facilitate program evaluation, patient-level data capture, ROI, and data sharing",Active;Active;Active;Active;Active
TN,Rural Capacity Building - Targeting Efficiency to Improve Access to Leadership Skills and Specialty Services ,5,In progress,"Establish a multi-modal, robust and resilient rural health system that aggressively removes burdens on rural providers, supports integrating high-value healthcare models in under-served rural areas by (1) developing executive leadership pathways to place trained rural health leaders in within priority communities. Tennessee will enhance rural capacity through targeted partnerships with existing academic centers that can provide technology and workflow integration support for rural providers. (2) An expanded a Behavioral Health Workforce will 22
 
utilize co-location at high demand locations such as Local Health Departments (LHDs) and Emergency Departments (Eds) to reduce bottlenecks in emergency care, facilitate quicker access to appropriate services, and ensure individuals have easy access to crisis intervention, intake/assessments, peer support, and ongoing MH and SUD treatment. Finally, (3)Tennessee will accelerate the successful, evidence-based Community Health Worker (CHW) program to rural communities to improve health outcomes for rural Tennesseans. Tennessee has already laid the groundwork by investing in CHWs through TennCare and the TN CHW Association (TNCHWA), becoming the first state with a CHW organizational accreditation pathway that ensures evidence-based practices are consistently implemented. Accreditation at the organization level helps ensure better outcomes and maximizes ROI; TennCare, TNCHWA, and NCQA partnered to establish TNCHWA as the state accrediting agency. RHT funds will support rural providers to launch evidence-based CHW programs, obtain accreditation, and receive short-term bridge support while TennCare explores sustainable reimbursement pathways for CHW services. Collectively, these investments strengthen execution capacity, stabilize operations, and ensure clinical and community teams can deliver integrated, value-focused care close to home.","Increase the number of MH providers co-located in rural primary care clinics, specialty clinics, and Eds.;Increase the number of executive certifications provided.;Reduce the median boarding hours.;Increase the number of provider organizations with community health worker accreditation.
*Available at Community Level",Active;Active;Active;Active
TN,Dental Pilot - Enhancing investments in the rural dental workforce to improve oral health access ,6,In progress,"Tennessee will extend its successful Rural Dental Pilot Program to address persistent shortages of dental professionals in rural and distressed communities. Building on the early success supported by Governor Lee and the Legislature, this extended pilot (FY2028–FY2030) will expand dental provider recruitment, establish new rural dental access points, and integrate preventive oral health services into Dental HPSAs (which include 83% of Tennessee counties), with many lacking even one full-time dentist. In FY2024, TDH’s public health dental clinics provided 97,086 dental services to more than 11,000 Tennesseans, while the School-Based Dental Prevention Project reached 44,000 children and placed nearly 200,000 sealants statewide. Demand continues to exceed capacity, underscoring the need to extend the model through RHT funding to achieve scale and sustainability.",Increase the # of dental clinicians placed in rural/distressed counties*;Increase the # of new or renovated dental suites established.;Increase the # of Tennesseans receiving preventive/restorative dental services through projects funded through this opportunity.;Reduce the % of Emergency Department visits for dental conditions among uninsured populations.;Establish full HRTS integration of dental metrics.,Active;Active;Active;Active;Active
TN,HRP: Maternal and Child Health - Building a safer start for every mother and child in rural Tennessee,7,In progress,"Tennessee continues to experience unacceptably high rates of preventable fetal, infant, child, and maternal mortality, ranking 43rd nationally in women’s and children’s health. As defined by TDH, 38 of the state’s 56 birthing hospitals are considered rural, with 22 of these rural birthing hospitals having greater than 70% of their births covered by Medicaid. TennCare currently contracts annually with Tennessee’s five regional perinatal centers, which provide direct services to high-acuity patients and administer critical supports to rural health providers and rural birthing centers to support early diagnosis and treatment of high-acuity, life-threatening conditions of pregnant women and newborn infants. Guided by the Tennessee Maternal Health
Strategic Plan (2025–2030) and Infant Health Strategic Plan (2024–2028), this initiative will

strengthen rural systems of care through aligned investments across facilities, workforce, and digital infrastructure.
The Healthcare Resiliency Program (HRP) will fund projects that expand rural maternity care capacity, improve perinatal education and emergency response, and enhance data systems that connect families to services. Investments include grants to upgrade rural birthing facilities, with an emphasis on those serving high proportions of TennCare births and persons. The program will also expand the capacity of the state’s existing perinatal centers, strengthen community partnerships, and implement new training and tech-enabled consultation supports.
Transformative technology infrastructure investments will be made in behavioral health teleconsultation for maternal and pediatric providers, modernization of TDH’s Call Center and referral interoperability, and the launch of a mobile pregnancy app to deliver evidence-based education and resource linkage.
",Increase access to care in maternity care deserts. *;Increase the percentage of birthing hospitals serving rural patients that are actively participating in Tennessee Initiative for Perinatal Quality Care (TIPQC) quality improvement projects from a baseline.;Decrease the fatal overdose rate among women aged 15–44 years.;Increase the percentage of women screened for depression postpartum by a healthcare provider.,Active;Active;Active;Active
TN,"Value-Based Payment: Maternal, Hospitals, Dental  - Catalyzing Rural Health Value Based Payment Models",8,In progress," Traditional fee-for-service models reward volume over value, exacerbating the challenges faced by rural providers. TennCare has demonstrated success in implementing value-based payment (VBP) programs that improve outcomes and reduce costs across multiple care settings. This initiative aims to expand that success to rural hospitals, obstetric providers, and dental clinics to strengthen infrastructure, workforce readiness, and quality improvement systems that support sustained participation in VBP models. Investments focus on three coordinated models: the Patient-Centered Obstetric Medical Home, incentivizing coordinated maternal care & postpartum follow-up; the Rural Hospital VBP Capacity Program, providing infrastructure funding for rural hospitals to meet quality benchmarks and be successful under the TennCare Hospital Investment Program (HIP-QC); and the Patient-Centered Dental Home, engaging rural dental providers to expand preventive care, reduce emergency visits, and promote integrated oral and physical health. Together, these models catalyze a sustainable shift toward value-based, high-quality delivery for providers serving rural communities.","Improve average Admission, Discharge, and Transfer (ADT) quality measure performance in HIP-QC.;Increase number of obstetric practices in maternal VBP program.*;Decrease Plan All-Cause Readmissions (PCR).;Decrease Ambulatory Care Sensitive Emergency Department Visits for Non-Traumatic Dental Conditions in Adults (EDV-AD).",Active;Active;Active;Active
TN,HRP: Make Rural TN Healthy Again (MaRTHA) - Expansion of Competitive “Rural Health Resiliency Program” Grants for Community Driven Prevention Efforts,9,In progress,"Through this competitive opportunity, allocated funds will help Tennessee providers and community-based organizations deliver integrated, high-quality, comprehensive prevention and health services that address the root causes of poor health outcomes. This initiative aims to strengthen the healthcare landscape in rural Tennessee by addressing the unique challenges these communities face, such as limited access to services, health disparities, and lack of coordinated care. By fostering collaboration among local healthcare providers, the program seeks to create a robust network that promotes holistic health and well-being for residents in underserved areas. These investments may include innovative projects that expand access to health and healthcare services in rural areas and support transitions to alternative care models that meet community needs. For example, establishing community health centers with extended hours and same-day appointments can greatly improve primary care access. Funding can also expand telehealth through provider training and technology investment, reducing the need for long-distance travel. Another priority is building mobile and in-home clinical capacity—licensed teams delivering diagnostics and preventive services through a scalable, tech-enabled infrastructure that enhances reach, continuity, and reduces emergency use. To improve services for younger populations, initiatives could hire more school health nurses to ensure timely screenings and care for students with chronic conditions. Together, these projects address the unique challenges of rural Tennessee communities and advance overall health outcomes.","Increase the percentage of rural residents with an identified primary care provider, *;Increase the # of mobile strategies in all three grand divisions of Tennessee, while connecting patients to a dedicated medical home.;Increase the percentage of rural resident encounters using telehealth for primary or specialty visits with participating organizations;Increase the % of TN public schools employing a full-time nurse. *",Active;Active;Active;Active
TN,"Rural Health Improvement Grants - Competitive grants for locally led-upstream prevention, nutrition, and active living",10,In progress,"An ounce of prevention is worth a pound of cure, and Tennessee stands ready to accelerate our community-driven investments in prevention of chronic diseases by accelerating and braiding multi-modal layers of community driven support by establishing County Health Council Collaborative Action for Rural Engagement (CARE) Grants, enhanced Healthy Built Environments (HBE) Grants, and Integrated Policy, Systems, and Environmental (PSE) Grants to address severe nutrition security issues across rural Tennessee. County Health Councils, active in all of Tennessee’s 95 counties for over 30 years, will deploy transformative CARE Grants to move from planning to action by funding locally prioritized health improvement projects and building community capacity for long-term sustainability.
The HBE and PSE programs will expand rural access to health-promoting environments, nutrition security infrastructure, and evidence-based prevention initiatives. HBE grants, administered by TDH’s Office of Primary Prevention will fund enhancements, programming, and planning for existing spaces, including parks, trails, farmers markets, and other health promoting-environment and community assets that support active outdoor living for children and adults. These spaces provide opportunities for partnerships with school-based physical activity and healthy eating programs, as well as community events and programming to activate spaces for strengthened social connection. PSE investments will leverage partnerships utilizing the End Zone playbook, a Blue Zones inspired PSE model, to implement proven strategies addressing nutrition security and social connection. By leveraging local expertise and establishing innovative partnerships Tennessee will efficiently deliver prevention funding that is designed by the rural communities we serve – maximizing buy-in, increasing access to physical activity and nutrition security, and building a culture of health in every community in Tennessee.","Increase the number of rural counties funded for new health-promoting;environments that increase access to healthy foods and opportunities for physical activity;Increase the percentage of rural Tennesseans living within 1 mile of health-promoting environments;Increase the number of partnerships, including county health councils, school systems, local governments, NGOs, CBOs, or nonprofits, that implement End-Zone inspired PSE strategies.",Active;Active;Active;Active
TN,HRP: Rural Non-Emergency Transportation - Develop and scale solutions to reduce transportation barriers in rural Tennessee,11,In progress,"The Tennessee Rural Non-Emergency Transportation (RNET) Initiative will bridge the distance between health and home by transforming how rural Tennesseans are able to access primary, preventive, and specialty care. Transportation remains one of the most persistent, preventable, and solvable barriers to health—responsible for thousands of (expensive) missed appointments, delayed treatments, and preventable hospitalizations each year. Through RNET, Tennessee will develop an integrated, technology-enabled transportation coordination system that aligns hospitals, clinics, and community networks under a single framework for equitable, efficient, and sustainable access.
There is no reason to invent the wheel, but instead we intend to share the wisdom of what works. Rural hospitals and clinics across Tennessee are already demonstrating how transportation access improves outcomes. Hospital-led shuttle programs in Upper Cumberland counties reduced appointment no-shows by more than 25%, saving nearly $600,000 in uncompensated care within 18 months. Community-based ride partnerships in West Tennessee cut travel time to behavioral health services by 30% while improving treatment adherence and patient retention.
These outcomes mirror national evidence: systematic reviews confirm that reliable non-emergency medical transportation (NEMT) access reduces missed appointments, emergency visits, and overall healthcare costs (BMC Public Health, 2022; Milliman Insight, 2023). RNET is designed to scale these proven successes into a statewide network that standardizes data reporting, expands coverage to all HRSA-defined rural counties, and integrates transportation coordination into the fabric of rural healthcare delivery. RNET will launch as a competitive grant program under the Healthcare Resiliency Program (HRP) model, allowing hospitals, critical-access facilities, or other third-parties to apply for funding to implement or expand transportation programs. Key features may include a Statewide Coordination Platform, shared data-driven decision support, local innovation and flexibility, and cross system integration with electronic health records (EHRs), the Tennessee Community Compass (closed-loop referral system), and regional EMS coordination hubs.",Reduce missed medical appointments due to transportation barriers.;Expand coordinated medical transport options in rural counties.*;Improve chronic disease management (A1C and BP control) among transported patients.;Achieve high satisfaction and scheduling reliability among program users.,Active;Active;Active;Active
